Deleted Bet ID: 678bec7021a13e0c3f57695f, Created At: Sat Jan 18 2025 12:01:20 GMT-0600 (Central Standard Time), Status: pending
Deleted Bet ID: 678bec7621a13e0c3f576982, Created At: Sat Jan 18 2025 12:01:26 GMT-0600 (Central Standard Time), Status: canceled
Deleted Bet ID: 678bec8121a13e0c3f5769a8, Created At: Sat Jan 18 2025 12:01:37 GMT-0600 (Central Standard Time), Status: pending
Deleted Bet ID: 678c8463e881f534f5eaefcc, Created At: Sat Jan 18 2025 22:49:39 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c88da8c81c46d6f434650, Created At: Sat Jan 18 2025 23:08:42 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c8b348c81c46d6f434663, Created At: Sat Jan 18 2025 23:18:44 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c8c088c81c46d6f43467a, Created At: Sat Jan 18 2025 23:22:16 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c8c338c81c46d6f43469b, Created At: Sat Jan 18 2025 23:22:59 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c915cdc5e9fd636109cf9, Created At: Sat Jan 18 2025 23:45:00 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c93211414c72a21a0420a, Created At: Sat Jan 18 2025 23:52:33 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c935c1414c72a21a04221, Created At: Sat Jan 18 2025 23:53:32 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c942b07e2eaf86df41b11, Created At: Sat Jan 18 2025 23:56:59 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678c942e07e2eaf86df41b15, Created At: Sat Jan 18 2025 23:57:02 GMT-0600 (Central Standard Time), Status: pending
Deleted Bet ID: 678c942f07e2eaf86df41b19, Created At: Sat Jan 18 2025 23:57:03 GMT-0600 (Central Standard Time), Status: pending
Deleted Bet ID: 678c943107e2eaf86df41b1d, Created At: Sat Jan 18 2025 23:57:05 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678dd5e74fb9178b621a1ff7, Created At: Sun Jan 19 2025 22:49:43 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678dda59a2818ba4c6f8cd9e, Created At: Sun Jan 19 2025 23:08:41 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678ddba166d3f7cd87a7fab1, Created At: Sun Jan 19 2025 23:14:09 GMT-0600 (Central Standard Time), Status: pending
Deleted Bet ID: 678ddcd5a7b4be008dfb183d, Created At: Sun Jan 19 2025 23:19:17 GMT-0600 (Central Standard Time), Status: pending
Deleted Bet ID: 678dde62ac80da189d30634f, Created At: Sun Jan 19 2025 23:25:54 GMT-0600 (Central Standard Time), Status: matched
