Deleted Bet ID: 678de49a1db9155df29ef937, Created At: Sun Jan 19 2025 23:52:26 GMT-0600 (Central Standard Time), Status: lost
Deleted Bet ID: 678de8103ca3e4aa9a6d87ea, Created At: Mon Jan 20 2025 00:07:12 GMT-0600 (Central Standard Time), Status: lost
Deleted Bet ID: 678de88c3ca3e4aa9a6d882e, Created At: Mon Jan 20 2025 00:09:16 GMT-0600 (Central Standard Time), Status: lost
Deleted Bet ID: 678de9273ca3e4aa9a6d8856, Created At: Mon Jan 20 2025 00:11:51 GMT-0600 (Central Standard Time), Status: lost
Deleted Bet ID: 678dea1bc14896dfa4935758, Created At: Mon Jan 20 2025 00:15:55 GMT-0600 (Central Standard Time), Status: lost
Deleted Bet ID: 678deb82572e7767e1bbe0da, Created At: Mon Jan 20 2025 00:21:54 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678debc3f3f0f0b653078bef, Created At: Mon Jan 20 2025 00:22:59 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678ded1e193a6d9cd4d061db, Created At: Mon Jan 20 2025 00:28:46 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678df25c3cd15496715b70bb, Created At: Mon Jan 20 2025 00:51:08 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678df2dc912a05e134c79e15, Created At: Mon Jan 20 2025 00:53:16 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678df38e912a05e134c79e3c, Created At: Mon Jan 20 2025 00:56:14 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678df7c4f0b951c6662e2fa2, Created At: Mon Jan 20 2025 01:14:12 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678df9580f04832386ec2eb7, Created At: Mon Jan 20 2025 01:20:56 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678dfa0e8aa095323a9bb961, Created At: Mon Jan 20 2025 01:23:58 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678dfa5b8aa095323a9bb975, Created At: Mon Jan 20 2025 01:25:15 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678dfa9a72f385fcfda3e2b7, Created At: Mon Jan 20 2025 01:26:18 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678e8c842e513e1352f4b578, Created At: Mon Jan 20 2025 11:48:52 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678e8c9d2e513e1352f4b58c, Created At: Mon Jan 20 2025 11:49:17 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678e8cd706497997705ea19b, Created At: Mon Jan 20 2025 11:50:15 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678e9130f1c6b8cbe8e9c65a, Created At: Mon Jan 20 2025 12:08:48 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678e91e2c770adb6127f6771, Created At: Mon Jan 20 2025 12:11:46 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678eae226b5733b35567c880, Created At: Mon Jan 20 2025 14:12:18 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678eb16007dc575811656548, Created At: Mon Jan 20 2025 14:26:08 GMT-0600 (Central Standard Time), Status: matched
Deleted Bet ID: 678eb181ef8bf2bf10f2e0cf, Created At: Mon Jan 20 2025 14:26:41 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678eb94aef8bf2bf10f2e11f, Created At: Mon Jan 20 2025 14:59:54 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678ebe80887fe4faa17aed8d, Created At: Mon Jan 20 2025 15:22:08 GMT-0600 (Central Standard Time), Status: won
Deleted Bet ID: 678ed15b887fe4faa17aef51, Created At: Mon Jan 20 2025 16:42:35 GMT-0600 (Central Standard Time), Status: won
